Seedling_ID,ID2,Elev,Genotype,Micro,Needle_age,Prev_trmt,Trmt_2,Measurement,Date,Time,Fo,Fv,Fm,Fv/Fm,Fv/Fo
55,a,high,h,uninoc,new,control,heat,3,Jul/05/2025,11:37:17,114,205,319,0.642,1.798
55,b,high,h,uninoc,old,control,heat,3,Jul/05/2025,11:37:36,228,882,1110,0.794,3.868
56,a,low,m,inoc,old,control,heat,3,Jul/05/2025,11:37:49,190,448,638,0.702,2.357
56,b,low,m,inoc,old,control,heat,3,Jul/05/2025,11:38:00,162,541,703,0.769,3.339
57,a,high,g,uninoc,old,control,heat,3,Jul/05/2025,11:38:22,197,114,311,0.366,0.578
57,b,high,g,uninoc,old,control,heat,3,Jul/05/2025,11:38:34,202,432,634,0.681,2.138
11,a,high,j,uninoc,new,high,heat,4,Jul/05/2025,12:30:13,237,593,830,0.714,2.502
11,b,high,j,uninoc,old,high,heat,4,Jul/05/2025,12:30:21,164,472,636,0.742,2.878
12,a,low,k,inoc,new,high,heat,4,Jul/05/2025,12:30:31,307,197,504,0.39,0.641
12,b,low,k,inoc,old,high,heat,4,Jul/05/2025,12:30:41,59,112,171,0.654,1.898
13,a,low,k,uninoc,new,high,heat,4,Jul/05/2025,12:30:52,243,578,821,0.704,2.378
13,b,low,k,uninoc,old,high,heat,4,Jul/05/2025,12:31:00,241,544,785,0.692,2.257
14,a,low,k,inoc,new,high,heat,4,Jul/05/2025,12:31:09,359,495,854,0.579,1.378
14,b,low,k,inoc,old,high,heat,4,Jul/05/2025,12:31:19,141,371,512,0.724,2.631
15,a,low,k,uninoc,new,high,heat,4,Jul/05/2025,12:31:29,194,142,336,0.422,0.731
15,b,low,k,uninoc,old,high,heat,4,Jul/05/2025,12:31:39,96,235,331,0.709,2.447
16,a,high,i,inoc,new,high,heat,4,Jul/05/2025,12:31:51,206,557,763,0.73,2.703
16,b,high,i,inoc,old,high,heat,4,Jul/05/2025,12:32:02,103,338,441,0.766,3.281
17,a,low,k,uninoc,new,high,heat,4,Jul/05/2025,12:32:15,234,121,355,0.34,0.517
17,b,low,k,uninoc,old,high,heat,4,Jul/05/2025,12:32:23,297,345,642,0.537,1.161
18,a,high,g,uninoc,new,high,heat,4,Jul/05/2025,12:32:33,168,283,451,0.627,1.684
18,b,high,g,uninoc,old,high,heat,4,Jul/05/2025,12:32:44,173,339,512,0.662,1.959
